Date;Nationality;Sex;Age;Population
1970-12-31;Germans;Female;45 years;414090
1970-12-31;Germans;Female;46 years;408022
1970-12-31;Germans;Female;47 years;409946
1970-12-31;Germans;Female;48 years;432351
1970-12-31;Germans;Female;49 years;458250
1970-12-31;Germans;Female;50 years;461965
1970-12-31;Germans;Female;51 years;354514
1970-12-31;Germans;Female;52 years;238657
1970-12-31;Germans;Female;53 years;230185
1970-12-31;Germans;Female;54 years;254883
1970-12-31;Germans;Female;55 years;336925
1970-12-31;Germans;Female;56 years;430656
1970-12-31;Germans;Female;57 years;435918
1970-12-31;Germans;Female;58 years;442608
1970-12-31;Germans;Female;59 years;421925
1970-12-31;Germans;Female;60 years;433318
1970-12-31;Germans;Female;61 years;437499
1970-12-31;Germans;Female;62 years;431404
1970-12-31;Germans;Female;63 years;416714
1970-12-31;Germans;Female;64 years;407652
1970-12-31;Germans;Female;65 years;386667
1970-12-31;Germans;Female;66 years;380289
1970-12-31;Germans;Female;67 years;359510
1970-12-31;Germans;Female;68 years;357440
1970-12-31;Germans;Female;69 years;340437
1970-12-31;Germans;Female;70 years;317043
1970-12-31;Germans;Female;71 years;300581
1970-12-31;Germans;Female;72 years;287990
1970-12-31;Germans;Female;73 years;265028
1970-12-31;Germans;Female;74 years;253095
1970-12-31;Germans;Female;75 years;228614
1970-12-31;Germans;Female;76 years;210815
1970-12-31;Germans;Female;77 years;192563
1970-12-31;Germans;Female;78 years;169809
1970-12-31;Germans;Female;79 years;154166
1970-12-31;Germans;Female;80 years;132353
1970-12-31;Germans;Female;81 years;117060
1970-12-31;Germans;Female;82 years;101276
1970-12-31;Germans;Female;83 years;85636
1970-12-31;Germans;Female;84 years;70185
1970-12-31;Germans;Female;85 years and over;245361
1970-12-31;Germans;Female;Total;30893694
1970-12-31;Foreigners;Male;under 1 year;29986
1970-12-31;Foreigners;Male;1 year;23901
1970-12-31;Foreigners;Male;2 years;23104
1970-12-31;Foreigners;Male;3 years;23163
1970-12-31;Foreigners;Male;4 years;21821
1970-12-31;Foreigners;Male;5 years;20569
1970-12-31;Foreigners;Male;6 years;18922
1970-12-31;Foreigners;Male;7 years;16238
1970-12-31;Foreigners;Male;8 years;14776
1970-12-31;Foreigners;Male;9 years;13653
1970-12-31;Foreigners;Male;10 years;13510
1970-12-31;Foreigners;Male;11 years;12502
1970-12-31;Foreigners;Male;12 years;11801
1970-12-31;Foreigners;Male;13 years;11174
1970-12-31;Foreigners;Male;14 years;11388
1970-12-31;Foreigners;Male;15 years;12649
1970-12-31;Foreigners;Male;16 years;14971
1970-12-31;Foreigners;Male;17 years;16473
1970-12-31;Foreigners;Male;18 years;22778
1970-12-31;Foreigners;Male;19 years;25617
1970-12-31;Foreigners;Male;20 years;27288
1970-12-31;Foreigners;Male;21 years;34822
1970-12-31;Foreigners;Male;22 years;41968
1970-12-31;Foreigners;Male;23 years;50633
1970-12-31;Foreigners;Male;24 years;55343
1970-12-31;Foreigners;Male;25 years;53880
1970-12-31;Foreigners;Male;26 years;53742
1970-12-31;Foreigners;Male;27 years;53559
1970-12-31;Foreigners;Male;28 years;59319
1970-12-31;Foreigners;Male;29 years;60088
1970-12-31;Foreigners;Male;30 years;69886
1970-12-31;Foreigners;Male;31 years;63943
1970-12-31;Foreigners;Male;32 years;60948
1970-12-31;Foreigners;Male;33 years;56750
1970-12-31;Foreigners;Male;34 years;54108
1970-12-31;Foreigners;Male;35 years;48803
1970-12-31;Foreigners;Male;36 years;48917
1970-12-31;Foreigners;Male;37 years;45505
1970-12-31;Foreigners;Male;38 years;39219
1970-12-31;Foreigners;Male;39 years;34570
1970-12-31;Foreigners;Male;40 years;34009
1970-12-31;Foreigners;Male;41 years;28449
1970-12-31;Foreigners;Male;42 years;26157
1970-12-31;Foreigners;Male;43 years;23411
1970-12-31;Foreigners;Male;44 years;22381
1970-12-31;Foreigners;Male;45 years;19437
1970-12-31;Foreigners;Male;46 years;17761
1970-12-31;Foreigners;Male;47 years;16302
1970-12-31;Foreigners;Male;48 years;14944
1970-12-31;Foreigners;Male;49 years;13226
1970-12-31;Foreigners;Male;50 years;12676
1970-12-31;Foreigners;Male;51 years;9220
1970-12-31;Foreigners;Male;52 years;6732
1970-12-31;Foreigners;Male;53 years;6053
1970-12-31;Foreigners;Male;54 years;6376
1970-12-31;Foreigners;Male;55 years;6871
1970-12-31;Foreigners;Male;56 years;6907
1970-12-31;Foreigners;Male;57 years;6227
1970-12-31;Foreigners;Male;58 years;6074
1970-12-31;Foreigners;Male;59 years;5103
1970-12-31;Foreigners;Male;60 years;4733
1970-12-31;Foreigners;Male;61 years;4064
1970-12-31;Foreigners;Male;62 years;3625
1970-12-31;Foreigners;Male;63 years;3107
1970-12-31;Foreigners;Male;64 years;2863
1970-12-31;Foreigners;Male;65 years;2447
1970-12-31;Foreigners;Male;66 years;2184
1970-12-31;Foreigners;Male;67 years;2075
1970-12-31;Foreigners;Male;68 years;1964
1970-12-31;Foreigners;Male;69 years;1689
1970-12-31;Foreigners;Male;70 years;1573
1970-12-31;Foreigners;Male;71 years;1369
1970-12-31;Foreigners;Male;72 years;1247
1970-12-31;Foreigners;Male;73 years;1101
1970-12-31;Foreigners;Male;74 years;933
1970-12-31;Foreigners;Male;75 years;876
1970-12-31;Foreigners;Male;76 years;788
1970-12-31;Foreigners;Male;77 years;730
1970-12-31;Foreigners;Male;78 years;591
1970-12-31;Foreigners;Male;79 years;525
1970-12-31;Foreigners;Male;80 years;478
1970-12-31;Foreigners;Male;81 years;446
1970-12-31;Foreigners;Male;82 years;404
1970-12-31;Foreigners;Male;83 years;304
1970-12-31;Foreigners;Male;84 years;296
1970-12-31;Foreigners;Male;85 years and over;1041
1970-12-31;Foreigners;Male;Total;1702056
1970-12-31;Foreigners;Female;under 1 year;27928
1970-12-31;Foreigners;Female;1 year;21991
1970-12-31;Foreigners;Female;2 years;21507
1970-12-31;Foreigners;Female;3 years;21596
1970-12-31;Foreigners;Female;4 years;20113
1970-12-31;Foreigners;Female;5 years;19127
1970-12-31;Foreigners;Female;6 years;17459
1970-12-31;Foreigners;Female;7 years;15343
1970-12-31;Foreigners;Female;8 years;13887
1970-12-31;Foreigners;Female;9 years;12856
1970-12-31;Foreigners;Female;10 years;13057
1970-12-31;Foreigners;Female;11 years;12088
1970-12-31;Foreigners;Female;12 years;11512
1970-12-31;Foreigners;Female;13 years;11012
1970-12-31;Foreigners;Female;14 years;10638
1970-12-31;Foreigners;Female;15 years;11628
1970-12-31;Foreigners;Female;16 years;14228
1970-12-31;Foreigners;Female;17 years;15588
1970-12-31;Foreigners;Female;18 years;22513
1970-12-31;Foreigners;Female;19 years;27784
1970-12-31;Foreigners;Female;20 years;34260
1970-12-31;Foreigners;Female;21 years;35011
1970-12-31;Foreigners;Female;22 years;36067
1970-12-31;Foreigners;Female;23 years;35933
1970-12-31;Foreigners;Female;24 years;34322
1970-12-31;Foreigners;Female;25 years;31364
1970-12-31;Foreigners;Female;26 years;30386
1970-12-31;Foreigners;Female;27 years;28361
1970-12-31;Foreigners;Female;28 years;27904
1970-12-31;Foreigners;Female;29 years;24700
1970-12-31;Foreigners;Female;30 years;27282
1970-12-31;Foreigners;Female;31 years;23959
1970-12-31;Foreigners;Female;32 years;22787
1970-12-31;Foreigners;Female;33 years;21031
1970-12-31;Foreigners;Female;34 years;19984
1970-12-31;Foreigners;Female;35 years;18513
1970-12-31;Foreigners;Female;36 years;17395
1970-12-31;Foreigners;Female;37 years;16276
1970-12-31;Foreigners;Female;38 years;15299
1970-12-31;Foreigners;Female;39 years;13283
1970-12-31;Foreigners;Female;40 years;13881
1970-12-31;Foreigners;Female;41 years;12057
